id;Crop
148;soybean
6457;soybean
966;winter_wheat
1975;corn
1550;corn
309;soybean
2774;corn
1771;corn
2884;corn
2200;corn
5870;soybean
4569;soybean
4913;winter_wheat
2526;soybean
3208;cotton
1654;corn
4937;winter_wheat
774;winter_wheat
877;winter_wheat
3537;cotton
4067;corn
3309;cotton
4593;soybean
6649;corn
1681;corn
2076;corn
940;soybean
4879;winter_wheat
1315;cotton
2296;corn
5561;corn
1294;winter_wheat
4523;corn
3025;corn
4851;winter_wheat
2268;soybean
5900;soybean
4373;corn
3681;corn
1039;winter_wheat
6312;soybean
2043;corn
3240;cotton
1668;corn
721;winter_wheat
6719;corn
3392;cotton
4385;corn
2810;corn
2015;corn
4636;soybean
3962;corn
6482;soybean
4381;corn
4016;corn
3196;cotton
5335;soybean
2206;corn
6948;soybean
6230;corn
4429;corn
6674;corn
6582;corn
3616;rice
5750;corn
5239;corn
884;corn
3179;cotton
3696;corn
3356;cotton
2635;soybean
3719;corn
2320;corn
5360;winter_wheat
2978;soybean
5336;winter_wheat
422;soybean
6536;soybean
4132;corn
5747;corn
5215;corn
4566;cotton
4440;corn
4083;corn
6294;corn
927;winter_wheat
4036;soybean
489;soybean
3756;corn
132;corn
1508;winter_wheat
3082;cotton
2430;corn
2209;corn
6661;corn
5706;corn
2319;corn
3943;soybean
6093;corn
6337;soybean
34;rice
3671;corn
2671;corn
6781;soybean
2451;soybean
6859;soybean
4804;winter_wheat
4943;winter_wheat
989;soybean
5770;corn
2398;corn
305;soybean
4526;corn
2463;soybean
5819;soybean
5574;corn
2658;corn
610;soybean
2471;corn
4979;winter_wheat
2900;corn
6928;soybean
2785;soybean
3380;cotton
4393;corn
4362;corn
3241;cotton
5690;corn
261;corn
5471;winter_wheat
1016;soybean
1282;winter_wheat
6144;corn
3326;cotton
6456;soybean
3223;winter_wheat
5253;winter_wheat
3167;cotton
5973;soybean
935;corn
1266;cotton
5918;soybean
4386;corn
4549;cotton
6449;soybean
3555;rice
6725;corn
1366;winter_wheat
1709;corn
5620;corn
4301;corn
1580;corn
10;rice
6120;corn
6602;corn
3685;corn
2830;soybean
1351;cotton
2130;corn
4902;winter_wheat
5741;corn
2478;corn
3340;cotton
3835;soybean
6353;soybean
3786;soybean
1791;corn
6369;soybean
5087;winter_wheat
1598;corn
4164;corn
4702;soybean
5069;winter_wheat
5091;corn
3532;winter_wheat
4434;corn
3879;soybean
585;winter_wheat
5426;winter_wheat
2954;cotton
6006;soybean
2402;corn
5672;corn
5638;corn
502;winter_wheat
839;winter_wheat
405;soybean
6709;corn
1920;corn
2181;soybean
4654;soybean
2092;corn
5299;winter_wheat
2038;corn
6573;corn
1398;winter_wheat
1924;corn
3785;soybean
3022;cotton
6718;corn
6943;soybean
33;rice
5420;winter_wheat
1395;cotton
4872;winter_wheat
4054;corn
5359;winter_wheat
4076;corn
1439;winter_wheat
5539;winter_wheat
446;soybean
5632;corn
1409;winter_wheat
938;corn
5461;winter_wheat
3000;cotton
3234;cotton
1847;corn
6694;corn
3085;cotton
1551;corn
