id;Crop
3876;soybean
3383;cotton
3521;cotton
2683;corn
802;winter_wheat
132;corn
4772;winter_wheat
6980;soybean
6049;soybean
2870;soybean
3747;corn
4991;winter_wheat
1407;winter_wheat
4683;soybean
5474;winter_wheat
1686;corn
2149;soybean
6859;soybean
2246;corn
4145;corn
3163;cotton
6964;soybean
2359;corn
309;soybean
703;winter_wheat
3985;corn
3137;cotton
3477;cotton
1314;cotton
1492;cotton
2934;cotton
6346;soybean
2363;corn
2022;corn
916;winter_wheat
3837;soybean
3978;soybean
6122;corn
6165;corn
3193;winter_wheat
5602;corn
1027;winter_wheat
2425;corn
5061;winter_wheat
3862;soybean
756;winter_wheat
4568;soybean
4182;corn
5998;soybean
4823;winter_wheat
5470;winter_wheat
4515;corn
4596;soybean
2069;soybean
1905;corn
3732;corn
2131;corn
3798;soybean
1688;corn
99;corn
4054;corn
5201;winter_wheat
529;soybean
3386;cotton
2457;soybean
1447;winter_wheat
5078;soybean
4048;corn
5351;winter_wheat
6357;soybean
2250;corn
6643;corn
3549;rice
226;corn
5158;corn
5635;corn
740;soybean
1145;cotton
3776;corn
6344;soybean
6008;soybean
370;soybean
5596;corn
3852;soybean
1885;corn
4535;corn
2272;soybean
3262;winter_wheat
4676;soybean
3036;cotton
5544;winter_wheat
1660;corn
2198;corn
6373;soybean
897;winter_wheat
6613;corn
3247;cotton
1057;cotton
6836;soybean
4469;corn
4278;corn
4609;soybean
752;winter_wheat
4693;soybean
420;soybean
3027;cotton
5944;soybean
1992;corn
5709;corn
5796;corn
1576;corn
3010;cotton
5844;soybean
5628;corn
5008;winter_wheat
4098;corn
3719;corn
5310;corn
13;rice
430;winter_wheat
4868;winter_wheat
5904;soybean
513;winter_wheat
4148;corn
327;corn
5212;winter_wheat
1994;corn
6593;corn
1322;winter_wheat
1159;winter_wheat
2140;soybean
5105;soybean
3603;rice
1007;winter_wheat
2344;corn
6840;soybean
5764;corn
3468;cotton
2569;soybean
6038;soybean
273;soybean
2532;soybean
6272;corn
6092;corn
3094;cotton
4321;corn
4961;winter_wheat
1002;winter_wheat
1555;corn
5407;winter_wheat
1870;corn
1160;winter_wheat
6510;soybean
484;soybean
6716;corn
4156;corn
6637;corn
1272;cotton
2696;corn
5820;soybean
5493;winter_wheat
163;corn
5808;soybean
1277;winter_wheat
3136;cotton
5154;corn
6784;soybean
1510;winter_wheat
4325;soybean
356;corn
2688;corn
1128;winter_wheat
731;winter_wheat
4989;winter_wheat
4971;winter_wheat
3414;cotton
4291;soybean
6206;corn
4411;corn
261;corn
4370;corn
4680;soybean
5487;winter_wheat
2646;corn
3662;corn
1997;corn
1502;cotton
5637;corn
3497;cotton
5037;winter_wheat
2621;soybean
1531;corn
3785;soybean
5966;soybean
2446;soybean
5251;winter_wheat
1016;soybean
3488;cotton
4896;winter_wheat
3067;cotton
4116;corn
6987;soybean
3189;cotton
1827;corn
2292;corn
4976;winter_wheat
6343;soybean
3462;cotton
2098;soybean
415;soybean
5417;winter_wheat
3188;winter_wheat
428;winter_wheat
2452;soybean
5349;winter_wheat
5052;winter_wheat
1552;corn
6219;corn
5895;soybean
2440;corn
36;cotton
5147;winter_wheat
5603;corn
6452;soybean
4965;winter_wheat
1362;winter_wheat
1676;corn
4658;soybean
5640;corn
4463;corn
4375;corn
2733;corn
6578;corn
4192;corn
3140;cotton
2654;corn
